Fecha,Empresa,Precio_Cierre,Volumen,Sector
2023-01-01,Google,116.26,3824,Tecnología
2023-01-02,Google,101.1,3462,Tecnología
2023-01-03,Apple,199.27,4404,Tecnología
2023-01-04,Google,192.08,1541,Tecnología
2023-01-05,Google,137.03,3429,Tecnología
2023-01-06,Amazon,110.43,1938,Tecnología
2023-01-07,Amazon,167.9,2594,Tecnología
2023-01-08,Microsoft,183.81,1107,Tecnología
2023-01-09,Amazon,112.95,3611,Tecnología
2023-01-10,Microsoft,156.64,3006,Tecnología
2023-01-11,Apple,140.62,4179,Tecnología
2023-01-12,Google,187.25,1919,Tecnología
2023-01-13,Amazon,162.26,3060,Tecnología
2023-01-14,Amazon,178.51,4033,Tecnología
2023-01-15,Microsoft,104.41,4808,Tecnología
2023-01-16,Google,199.12,2997,Tecnología
2023-01-17,Google,178.94,4015,Tecnología
2023-01-18,Apple,160.68,4581,Tecnología
2023-01-19,Amazon,108.66,1954,Tecnología
2023-01-20,Microsoft,133.41,1555,Tecnología
2023-01-21,Amazon,122.23,4014,Tecnología
2023-01-22,Apple,123.3,4571,Tecnología
2023-01-23,Microsoft,192.78,4922,Tecnología
2023-01-24,Microsoft,148.66,3639,Tecnología
2023-01-25,Apple,107.02,2078,Tecnología
2023-01-26,Apple,196.14,3265,Tecnología
2023-01-27,Apple,183.73,3701,Tecnología
2023-01-28,Amazon,175.53,2222,Tecnología
2023-01-29,Amazon,177.2,2319,Tecnología
2023-01-30,Microsoft,138.07,4593,Tecnología
2023-01-31,Amazon,105.18,3860,Tecnología
2023-02-01,Amazon,128.35,4331,Tecnología
2023-02-02,Amazon,194.94,4593,Tecnología
2023-02-03,Google,183.04,2218,Tecnología
2023-02-04,Apple,136.88,2900,Tecnología
2023-02-05,Apple,104.06,3920,Tecnología
2023-02-06,Amazon,137.09,1221,Tecnología
2023-02-07,Apple,131.45,1489,Tecnología
2023-02-08,Amazon,183.12,3465,Tecnología
2023-02-09,Apple,129.54,4978,Tecnología
2023-02-10,Apple,153.78,1380,Tecnología
2023-02-11,Amazon,174.63,1760,Tecnología
2023-02-12,Google,139.7,2526,Tecnología
2023-02-13,Apple,190.21,4568,Tecnología
2023-02-14,Apple,119.25,4055,Tecnología
2023-02-15,Apple,141.99,1887,Tecnología
2023-02-16,Google,129.08,2397,Tecnología
2023-02-17,Microsoft,104.71,4014,Tecnología
2023-02-18,Apple,154.52,3178,Tecnología
2023-02-19,Google,153.14,3604,Tecnología
2023-02-20,Apple,110.82,4792,Tecnología
2023-02-21,Microsoft,181.21,1335,Tecnología
2023-02-22,Apple,169.02,1629,Tecnología
2023-02-23,Google,177.71,3861,Tecnología
2023-02-24,Apple,193.35,4189,Tecnología
2023-02-25,Microsoft,111.29,4656,Tecnología
2023-02-26,Apple,198.71,2937,Tecnología
2023-02-27,Amazon,166.5,1480,Tecnología
2023-02-28,Apple,178.48,4682,Tecnología
2023-03-01,Amazon,120.16,2085,Tecnología
2023-03-02,Microsoft,184.74,4157,Tecnología
2023-03-03,Google,173.99,3018,Tecnología
2023-03-04,Amazon,133.92,3386,Tecnología
2023-03-05,Apple,133.45,1061,Tecnología
2023-03-06,Amazon,173.62,3704,Tecnología
2023-03-07,Amazon,150.86,1117,Tecnología
2023-03-08,Microsoft,178.71,3975,Tecnología
2023-03-09,Microsoft,163.73,3753,Tecnología
2023-03-10,Apple,110.48,4871,Tecnología
2023-03-11,Google,191.16,3546,Tecnología
2023-03-12,Microsoft,148.15,2961,Tecnología
2023-03-13,Apple,106.35,3782,Tecnología
2023-03-14,Google,148.15,3799,Tecnología
2023-03-15,Amazon,187.96,1715,Tecnología
2023-03-16,Apple,145.6,4735,Tecnología
2023-03-17,Apple,146.68,2500,Tecnología
2023-03-18,Apple,150.65,3014,Tecnología
2023-03-19,Apple,127.97,1426,Tecnología
2023-03-20,Google,174.97,2006,Tecnología
2023-03-21,Amazon,192.52,2722,Tecnología
2023-03-22,Apple,156.89,1849,Tecnología
2023-03-23,Microsoft,127.35,1466,Tecnología
2023-03-24,Amazon,131.19,4569,Tecnología
2023-03-25,Microsoft,189.92,3049,Tecnología
2023-03-26,Microsoft,167.16,4520,Tecnología
2023-03-27,Amazon,104.53,2930,Tecnología
2023-03-28,Apple,186.3,2069,Tecnología
2023-03-29,Microsoft,112.08,3591,Tecnología
2023-03-30,Google,159.95,1594,Tecnología
2023-03-31,Amazon,149.91,4632,Tecnología
2023-04-01,Google,191.13,2463,Tecnología
2023-04-02,Microsoft,137.56,4163,Tecnología
2023-04-03,Microsoft,141.49,4398,Tecnología
2023-04-04,Microsoft,177.64,1016,Tecnología
2023-04-05,Microsoft,169.3,3026,Tecnología
2023-04-06,Amazon,137.6,1142,Tecnología
2023-04-07,Microsoft,179.83,2071,Tecnología
2023-04-08,Amazon,137.76,2713,Tecnología
2023-04-09,Apple,172.05,4404,Tecnología
2023-04-10,Google,134.75,2104,Tecnología
